application_id,candidate_id,job_id,recruiter_id,applied_date,stage,closed_date
APP000144,CAND00086,JOB0006,R003,04-Oct-2024,Rejected,10/28/2024
APP000145,CAND00086,JOB0008,R005,03/16/2024,Hired,12/05/2024
APP000146,CAND00087,JOB0020,R005,27/09/2024,Applied,
APP000147,CAND00088,JOB0015,R004,01/24/2025,Applied,
APP000148,CAND00088,JOB0037,R004,2024-05-26,Applied,
APP000149,CAND00088,JOB0009,R005,22-May-2025,Applied,
APP000150,CAND00089,JOB0006,R002,17-Nov-2024,Interview,
APP000151,CAND00090,JOB0032,R002,30/05/2024,Offer,
APP000152,CAND00091,JOB0016,R004,2024-07-13,Applied,
APP000153,CAND00091,JOB0006,R004,2024-10-11,Offer,
APP000154,CAND00092,JOB0039,R003,2025-02-10,Applied,
APP000155,CAND00093,JOB0040,R002,2024-06-01,Interview,
APP000156,CAND00093,JOB0006,R005,10/11/2024,Hired,29-Oct-2024
APP000157,CAND00094,JOB0022,R004,17/06/2024,Rejected,09-Jul-2024
APP000158,CAND00095,JOB0014,R003,17/11/2024,Interview,
APP000159,CAND00096,JOB0002,R005,,Offer,
APP000160,CAND00097,JOB0013,R001,02/11/2024,Offer,
APP000161,CAND00098,JOB0025,R003,03-Dec-2024,screening,
APP000162,CAND00099,JOB0025,R001,10/09/2024,Withdrawn,13/11/2024
APP000163,CAND00099,JOB0006,R004,20/10/2024,Screening,
APP000164,CAND00099,JOB0003,R003,28/02/2024,Rejected,
APP000165,CAND00100,JOB0023,R002,08/02/2024,Offer,
APP000166,CAND00100,JOB0018,R004,21-Dec-2024,Offer,
APP000167,CAND00100,JOB0002,R002,2024-06-09,Rejected,2024-06-26
APP000168,CAND00101,JOB0025,R002,15/11/2024,Withdrawn,27/12/2024
APP000169,CAND00101,JOB0020,R005,2024-10-07,Interview,
APP000170,CAND00101,JOB0038,R002,2024-11-17,Hired,02/12/2024
APP000171,CAND00102,JOB0028,R005,05/17/2025,Offer,
APP000172,CAND00103,JOB0035,R002,22-Jun-2024,Screening,
APP000173,CAND00103,JOB0027,R003,2024-10-22,Screening,
APP000174,CAND00104,JOB0012,R005,2024-08-25,Hired,2024-10-06
APP000175,CAND00105,JOB0015,R001,02/04/2025,Applied,
APP000176,CAND00106,JOB0039,R002,18-Jan-2025,Hired,2025-02-13
APP000177,CAND00106,JOB0013,R001,09/02/2024,Applied,
APP000178,CAND00107,JOB0013,R004,31-Aug-2024,Applied,
APP000179,CAND00108,JOB0030,R001,03/04/2024,Interview,
APP000180,CAND00109,JOB0021,R005,04/07/2025,Offer,
APP000181,CAND00109,JOB0003,R004,03-Apr-2024,Screening,
APP000182,CAND00109,JOB0016,R001,17/08/2024,Interview,
APP000183,CAND00110,JOB0004,R004,04-Nov-2024,Screening,
APP000184,CAND00110,JOB0019,R003,25/07/2025,Screening,
APP000185,CAND00110,JOB0034,R004,2024-10-16,Interview,
APP000186,CAND00111,JOB0038,R004,07/12/2024,Offer,
APP000187,CAND00112,JOB0030,R002,17-May-2024,Rejected,2024-07-16
APP000188,CAND00113,JOB0011,R004,18/10/2024,Screening,
APP000189,CAND00113,JOB0025,R002,2024-11-14,Offer,
APP000190,CAND00113,JOB0011,R002,2024-11-14,Offer,
APP000191,CAND00114,JOB0004,R004,2024-12-03,Screening,
APP000192,CAND00114,JOB0009,R003,,Applied,
APP000193,CAND00114,JOB0032,R004,2024-06-18,Rejected,29/07/2024
APP000194,CAND00115,JOB0029,R001,2025-01-07,Offer,
APP000195,CAND00115,JOB0040,R002,,Offer,
APP000196,CAND00116,JOB0023,R001,22/06/2024,Screening,
APP000197,CAND00116,JOB0020,R001,02/09/2024,Rejected,08/09/2024
APP000198,CAND00116,JOB0040,R005,06-Aug-2024,Hired,16/09/2024
APP000199,CAND00117,JOB0024,R003,2024-11-19,Screening,
APP000200,CAND00117,JOB0005,R003,04/12/2024,Rejected,11-Dec-2024
APP000201,CAND00118,JOB0034,R002,19/11/2024,Interview,
APP000202,CAND00119,JOB0034,R005,10/09/2024,Interview,
APP000203,CAND00119,JOB0019,R003,2025-07-20,Offer,
APP000204,CAND00119,JOB0040,R005,28/06/2024,Rejected,09/08/2024
APP000205,CAND00120,JOB0040,R001,2024-06-12,Hired,27-Jun-2024
APP000206,CAND00121,JOB0014,R001,2024-11-26,Withdrawn,25/12/2024
APP000207,CAND00121,JOB0001,R003,2024-04-16,Screening,
APP000208,CAND00121,JOB0020,R001,2024-09-24,Offer,
APP000209,CAND00122,JOB0037,R002,2024-06-09,Withdrawn,08/04/2024
APP000210,CAND00122,JOB0031,R002,03/06/2025,Rejected,17-Jul-2025
APP000211,CAND00123,JOB0022,R001,19-May-2024,Rejected,17-Jun-2024
APP000212,CAND00123,JOB0021,R002,25/07/2025,Interview,
APP000213,CAND00124,JOB0005,R001,2024-10-30,Screening,
APP000214,CAND00125,JOB0011,R002,15/12/2024,Offer,
APP000215,CAND00125,JOB0020,R001,2024-10-20,Rejected,07-Dec-2024
APP000216,CAND00126,JOB0029,R003,2025-02-04,Screening,
APP000217,CAND00127,JOB0013,R001,16-Aug-2024,Interview,
APP000218,CAND00128,JOB0013,R005,2024-09-17,Rejected,05-Nov-2024
APP000219,CAND00129,JOB0034,R001,23/12/2024,Withdrawn,08/01/2025
APP000220,CAND00130,JOB0020,R001,2024-07-27,Hired,2024-09-06
APP000221,CAND00131,JOB0020,R003,24/07/2024,Offer,
APP000222,CAND00131,JOB0013,R005,2024-08-29,Screening,
APP000223,CAND00131,JOB0008,R003,2024-03-21,Screening,
APP000224,CAND00132,JOB0033,R003,25/05/2025,Screening,
APP000225,CAND00132,JOB0019,R001,2025-08-08,Screening,
APP000226,CAND00133,JOB0029,R004,01/03/2025,Screening,
APP000227,CAND00133,JOB0025,R004,2024-09-16,Applied,
APP000228,CAND00134,JOB0029,R003,16-Mar-2025,Interview,
APP000229,CAND00134,JOB0035,R004,17/06/2024,Withdrawn,07-Aug-2024
APP000230,CAND00135,JOB0030,R004,15/03/2024,Interview,
APP000231,CAND00135,JOB0010,R003,2024-05-31,Screening,
APP000232,CAND00135,JOB0022,R001,2024-05-01,Interview,
APP000233,CAND00136,JOB0030,R003,24/03/2024,Screening,
APP000234,CAND00136,JOB0007,R001,2024-12-17,Rejected,08-Feb-2025
APP000235,CAND00137,JOB0030,R002,23/04/2024,Offer,
APP000236,CAND00137,JOB0031,R002,23-May-2025,Applied,
APP000237,CAND00138,JOB0037,R002,2024-05-05,Interview,
APP000238,CAND00138,JOB0037,R005,24/05/2024,Screening,
APP000239,CAND00139,JOB0012,R005,2024-09-30,Withdrawn,07-Oct-2024
APP000240,CAND00139,JOB0025,R001,2024-10-21,Interview,
APP000241,CAND00140,JOB0001,R004,13/02/2024,Offer,
APP000242,CAND00140,JOB0037,R003,2024-05-19,Screening,
APP000243,CAND00141,JOB0020,R001,15/09/2024,Hired,10/10/2024
APP000244,CAND00141,JOB0009,R005,05/16/2025,applied,
APP000245,CAND00141,JOB0036,R003,01-Jan-2025,Screening,
APP000246,CAND00142,JOB0038,R004,29/10/2024,Offer,
APP000247,CAND00142,JOB0014,R002,2024-12-02,Screening,
APP000248,CAND00142,JOB0024,R002,2025-01-07,Screening,
APP000249,CAND00143,JOB0010,R002,2024-05-15,Offer,
APP000250,CAND00144,JOB0030,R004,31/05/2024,Offer,
APP000251,CAND00144,JOB0028,R003,2025-07-08,Rejected,
APP000252,CAND00145,JOB0016,R005,15/08/2024,Screening,
APP000253,CAND00145,JOB0003,R003,2024-04-09,Interview,
APP000254,CAND00146,JOB0006,R003,15/10/2024,Hired,20-Nov-2024
APP000255,CAND00146,JOB0006,R001,28/10/2024,Interview,
APP000256,CAND00146,JOB0038,R003,18/10/2024,offer,
APP000257,CAND00147,JOB0033,R003,11/07/2025,Offer,
APP000258,CAND00147,JOB0019,R005,03-Jul-2025,Screening,
APP000259,CAND00148,JOB0017,R005,2024-09-21,Offer,
APP000260,CAND00148,JOB0019,R004,2025-08-14,Applied,
APP000261,CAND00149,JOB0017,R003,30-Sep-2024,offer,
APP000262,CAND00150,JOB0039,R002,11/12/2024,Rejected,2025-01-30
APP000263,CAND00151,JOB0016,R005,13-Aug-2024,Screening,
APP000264,CAND00151,JOB0006,R002,15-Oct-2024,Offer,
APP000265,CAND00151,JOB0027,R004,19-Oct-2024,Screening,
APP000266,CAND00152,JOB0023,R001,2024-06-24,Offer,
APP000267,CAND00152,JOB0031,R005,2025-05-12,Interview,
APP000268,CAND00153,JOB0031,R004,,Screening,
APP000269,CAND00153,JOB0029,R005,14/02/2025,Offer,
APP000270,CAND00154,JOB0023,R003,2024-08-12,Offer,
APP000271,CAND00154,JOB0007,R004,28/11/2024,Offer,
APP000272,CAND00155,JOB0038,R002,2024-10-03,interview,
APP000273,CAND00156,JOB0005,R005,2024-10-12,Interview,
APP000274,CAND00157,JOB0019,R001,28/06/2025,Screening,
APP000275,CAND00158,JOB0014,R001,2024-11-24,Offer,
APP000276,CAND00158,JOB0025,R005,03-Dec-2024,Hired,2025-01-16
APP000277,CAND00159,JOB0017,R001,21/10/2024,Interview,
APP000278,CAND00160,JOB0028,R003,2025-07-26,Rejected,2025-09-16
APP000279,CAND00161,JOB0025,R001,2024-10-29,Interview,
APP000280,CAND00162,JOB0029,R002,05/01/2025,Interview,
APP000281,CAND00163,JOB0007,R004,2024-11-14,Interview,
APP000282,CAND00163,JOB0029,R001,2025-01-30,Screening,
APP000283,CAND00164,JOB0002,R001,06/01/2024,Screening,
APP000284,CAND00164,JOB0018,R004,02/01/2025,Hired,03/03/2025
APP000285,CAND00165,JOB0031,R001,29/05/2025,interview,
APP000286,CAND00165,JOB0031,R003,2025-04-19,Offer,
APP000287,CAND00166,JOB0006,R003,2024-11-12,Interview,
APP000288,CAND00167,JOB0013,R004,27/08/2024,Offer,
APP000289,CAND00168,JOB0007,R001,15-Jan-2025,Hired,2025-02-18
APP000290,CAND00168,JOB0003,R005,2024-02-21,Applied,
APP000291,CAND00169,JOB0020,R004,09/23/2024,interview,
APP000292,CAND00169,JOB0022,R001,28/03/2024,Interview,
APP000293,CAND00170,JOB0034,R005,2024-11-25,Rejected,01/22/2025
APP000294,CAND00170,JOB0003,R001,15/02/2024,Interview,
APP000295,CAND00170,JOB0003,R001,2024-02-28,Hired,2024-03-10
APP000296,CAND00171,JOB0030,R005,2024-05-20,Screening,
APP000297,CAND00172,JOB0032,R001,25-Jun-2024,Rejected,12-Jul-2024
APP000298,CAND00173,JOB0026,R005,18/02/2024,Screening,
APP000299,CAND00173,JOB0014,R003,2024-09-14,Offer,
APP000300,CAND00173,JOB0027,R002,21/09/2024,Hired,
APP000301,CAND00174,JOB0040,R004,2024-07-01,rejected,07/05/2024
APP000302,CAND00175,JOB0038,R004,15/10/2024,Interview,
APP000303,CAND00175,JOB0018,R002,02/18/2025,Interview,
APP000304,CAND00175,JOB0003,R004,13/04/2024,Screening,
APP000305,CAND00176,JOB0023,R002,2024-08-10,Applied,
APP000306,CAND00177,JOB0040,R005,2024-06-29,Rejected,05/08/2024
APP000307,CAND00178,JOB0004,R002,04/11/2024,Screening,
APP000308,CAND00179,JOB0032,R001,2024-05-02,Screening,
APP000309,CAND00179,JOB0014,R005,03-Nov-2024,Screening,
APP000310,CAND00180,JOB0007,R002,02-Nov-2024,Rejected,2024-11-16
APP000311,CAND00181,JOB0029,R004,2025-03-13,Offer,
APP000312,CAND00182,JOB0015,R001,2025-01-19,Interview,
APP000313,CAND00183,JOB0025,R005,08/10/2024,Applied,
APP000314,CAND00184,JOB0014,R004,2024-11-26,Interview,
APP000315,CAND00185,JOB0023,R002,,Screening,
APP000316,CAND00186,JOB0009,R004,2025-04-23,Rejected,25-May-2025
APP000317,CAND00187,JOB0011,R002,23/12/2024,Rejected,2025-02-21
APP000318,CAND00187,JOB0027,R002,05/11/2024,Interview,
APP000319,CAND00188,JOB0001,R002,2024-03-20,Hired,07-Apr-2024
APP000320,CAND00189,JOB0010,R001,,Rejected,24-Jun-2024
APP000321,CAND00189,JOB0003,R004,22-Mar-2024,Interview,
APP000322,CAND00190,JOB0029,R005,01-Mar-2025,Screening,
APP000323,CAND00191,JOB0014,R002,25/09/2024,Interview,
APP000324,CAND00191,JOB0031,R004,28-Jun-2025,Screening,
APP000325,CAND00192,JOB0030,R004,2024-05-01,Hired,28/06/2024
APP000326,CAND00193,JOB0001,R003,15/04/2024,Applied,
APP000327,CAND00193,JOB0018,R005,13-Mar-2025,Rejected,2025-04-19
APP000328,CAND00193,JOB0022,R003,28-Mar-2024,Interview,
APP000329,CAND00194,JOB0030,R003,2024-05-21,Applied,
APP000330,CAND00195,JOB0036,R003,2025-02-15,Rejected,26/02/2025
APP000331,CAND00196,JOB0014,R003,07/10/2024,Interview,
APP000332,CAND00196,JOB0004,R004,19/10/2024,Interview,
APP000333,CAND00197,JOB0031,R005,03-Jul-2025,Interview,
APP000334,CAND00198,JOB0005,R001,2024-11-04,Rejected,2024-12-06
APP000335,CAND00199,JOB0007,R002,17/11/2024,Screening,
APP000336,CAND00200,JOB0002,R005,05/06/2024,Interview,
APP000337,CAND00200,JOB0027,R003,2024-10-26,Hired,30-Oct-2024
APP000338,CAND00201,JOB0022,R003,12/05/2024,Offer,
APP000339,CAND00201,JOB0034,R003,07/12/2024,Interview,
APP000340,CAND00202,JOB0011,R003,11/05/2024,Screening,
APP000341,CAND00203,JOB0010,R002,28/04/2024,Screening,
APP000342,CAND00204,JOB0019,R002,2025-06-19,Withdrawn,08/14/2025
APP000343,CAND00204,JOB0037,R003,2024-04-08,Interview,
APP000344,CAND00205,JOB0021,R004,28/06/2025,Screening,
APP000345,CAND00206,JOB0008,R004,19-Feb-2024,Interview,
APP000346,CAND00207,JOB0010,R005,2024-03-14,Withdrawn,20/04/2024
APP000347,CAND00208,JOB0037,R005,16-Jun-2024,Screening,
APP000348,CAND00209,JOB0008,R005,2024-04-17,Rejected,28/04/2024
APP000349,CAND00210,JOB0029,R001,11/02/2025,Screening,
APP000350,CAND00211,JOB0015,R001,09/02/2025,Screening,
APP000351,CAND00211,JOB0006,R004,2024-12-01,Interview,
APP000352,CAND00212,JOB0024,R004,2025-01-04,Screening,
APP000353,CAND00213,JOB0023,R004,01-Aug-2024,Screening,
APP000354,CAND00214,JOB0029,R002,19-Feb-2025,Rejected,12/03/2025
APP000355,CAND00214,JOB0027,R001,2024-09-17,Rejected,10/28/2024
APP000356,CAND00214,JOB0034,R005,09-Nov-2024,Applied,
APP000357,CAND00215,JOB0018,R004,05-Feb-2025,Screening,
APP000358,CAND00215,JOB0009,R004,2025-05-04,Screening,
APP000359,CAND00216,JOB0038,R004,2024-10-17,Interview,
APP000360,CAND00217,JOB0017,R004,2024-10-22,Withdrawn,2024-12-17
APP000361,CAND00218,JOB0032,R001,2024-07-07,Offer,
APP000362,CAND00219,JOB0039,R005,04/01/2025,Offer,
APP000363,CAND00220,JOB0031,R005,01-Jul-2025,rejected,2025-07-27
APP000364,CAND00220,JOB0038,R004,16-Sep-2024,Screening,
APP000365,CAND00220,JOB0011,R004,09/10/2024,Screening,
APP000366,CAND00221,JOB0019,R001,03/07/2025,Interview,
APP000367,CAND00222,JOB0007,R003,11-Jan-2025,Hired,17/02/2025
APP000368,CAND00223,JOB0018,R001,11/03/2025,Hired,2025-04-06
APP000369,CAND00224,JOB0034,R004,03/11/2024,Interview,
APP000370,CAND00225,JOB0007,R002,23-Nov-2024,Screening,
APP000371,CAND00226,JOB0040,R005,10-Aug-2024,Rejected,15-Sep-2024
APP000372,CAND00226,JOB0027,R002,10/28/2024,Rejected,2024-11-07
APP000373,CAND00227,JOB0009,R005,04-Jun-2025,Rejected,15-Jul-2025
APP000374,CAND00228,JOB0008,R002,15/03/2024,Screening,
APP000375,CAND00229,JOB0009,R001,2025-04-19,Interview,
APP000376,CAND00230,JOB0003,R005,22/02/2024,Screening,
APP000377,CAND00230,JOB0017,R001,19-Sep-2024,Applied,
APP000378,CAND00231,JOB0014,R003,,Rejected,07-Dec-2024
APP000379,CAND00231,JOB0018,R002,26-Feb-2025,Interview,
APP000380,CAND00232,JOB0016,R001,15-Aug-2024,Offer,
APP000381,CAND00232,JOB0034,R002,10/25/2024,Hired,11/15/2024
APP000382,CAND00233,JOB0014,R003,12/11/2024,Rejected,15/12/2024
APP000383,CAND00234,JOB0012,R002,06/10/2024,Withdrawn,05-Nov-2024
APP000384,CAND00235,JOB0008,R002,15/04/2024,Screening,
APP000385,CAND00236,JOB0036,R004,2024-11-22,Applied,
APP000386,CAND00237,JOB0020,R002,17/10/2024,Withdrawn,17-Nov-2024
APP000387,CAND00237,JOB0013,R004,08/13/2024,Rejected,
APP000388,CAND00238,JOB0032,R004,05/07/2024,Screening,
APP000389,CAND00238,JOB0008,R005,03/05/2024,Interview,
APP000390,CAND00238,JOB0011,R002,2024-10-11,Interview,
APP000391,CAND00239,JOB0008,R004,2024-03-16,Rejected,04/05/2024
APP000392,CAND00239,JOB0018,R004,06/03/2025,Rejected,03/31/2025
APP000393,CAND00240,JOB0018,R001,2025-01-01,Hired,10/01/2025
APP000394,CAND00240,JOB0009,R001,12-Apr-2025,Screening,
APP000395,CAND00241,JOB0012,R003,2024-10-09,Offer,
APP000396,CAND00242,JOB0005,R004,03-Jan-2025,Hired,24/02/2025
APP000397,CAND00243,JOB0033,R005,14/06/2025,Interview,
APP000398,CAND00243,JOB0003,R004,23/03/2024,Rejected,02/04/2024
APP000399,CAND00244,JOB0003,R003,19-Feb-2024,Offer,
APP000400,CAND00245,JOB0009,R001,18/05/2025,Hired,21/06/2025
APP000401,CAND00245,JOB0035,R005,19-Aug-2024,Interview,
APP000402,CAND00246,JOB0017,R004,16/11/2024,Offer,
APP000403,CAND00246,JOB0019,R005,,Applied,
APP000404,CAND00247,JOB0038,R003,2024-09-12,Hired,10/25/2024
APP000405,CAND00248,JOB0023,R002,2024-06-25,Offer,
APP000406,CAND00248,JOB0006,R003,2024-12-24,Applied,
APP000407,CAND00249,JOB0021,R004,19/05/2025,Interview,
